city;subject;shop_id;latitude;longitude;distance_adm_cent;count_population;pop_dens;count_shop_id_city;dist_shop_id;count_shop_id_km;dist_competitor_1;dist_competitor_2;dist_competitor_3;dist_competitor_4;min_dist_tertiary;min_dist_secondary;min_dist_road;min_dist_primary;min_dist_footway;n_traffic_signals;min_dist_traffic_signals;n_parking_space;min_dist_parking_space;min_dist_parking;n_parking_entrance;min_dist_parking_entrance;n_parking;n_bus_stop;min_dist_bus_stop;n_tram_stop;min_dist_tram_stop;n_apartments;min_dist_apartments;n_house;min_dist_house;n_residential;min_dist_residential;n_dormitory;min_dist_dormitory;n_terrace;min_dist_terrace;n_industrial;min_dist_industrial;n_office;min_dist_office;n_cinema;min_dist_cinema;n_marketplace;min_dist_marketplace;n_restaurant;min_dist_restaurant;n_nightclub;min_dist_nightclub;n_university;min_dist_university;n_college;min_dist_college;n_fast_food;min_dist_fast_food;n_food_court;min_dist_food_court;n_bank;min_dist_bank;n_fuel;min_dist_fuel;sale_k
Аша;Челябинская область;11;54.99;57.29;4.263242460860629;29946;11267.892655062577;7;533.4437270270637;2;495.530669554036;211.40119252726458;10000.0;10000.0;535.3383526813764;501.24915681284614;0.0;0.0;93.23629294893752;1.0;623.2408519415665;0.0;0.0;2842.6616884484442;0.0;2817.4674263741967;0.0;2.0;306.7087001606952;0.0;0.0;44.0;152.80544117565088;1.0;344.26588996868463;12.0;49.966537030476076;1.0;493.13376347058227;0.0;0.0;0.0;1886.3979811154568;0.0;0.0;1.0;281.8247462414075;0.0;0.0;0.0;2874.473063966993;0.0;0.0;0.0;1584.527277758856;1.0;471.2463025660253;0.0;1663.2261084944394;0.0;0.0;0.0;0.0;1.0;634.3514461449125;1
Иваново;Ивановская область;12;57.01;40.97;0.0686519500378523;1014646;7425.4800719319865;33;233.59539781817915;2;10000.0;213.7243523091837;10000.0;10000.0;277.31994706523125;185.87902046644612;0.0;183.1453633202699;43.206283642045136;8.0;183.1453633206225;0.0;0.0;96.58924336245369;1.0;974.5850152398256;10.0;19.0;87.53946948191592;0.0;0.0;40.0;150.16531719584088;1.0;818.5836172203099;2.0;316.9987224931036;0.0;1483.6070243772833;0.0;0.0;2.0;296.9179417535079;0.0;1436.1691850275486;1.0;983.9645892643381;1.0;528.3904559497946;5.0;104.584329780144;3.0;470.60247267503325;5.0;569.6526186306943;0.0;1295.7644985545046;3.0;136.7179868004356;0.0;1021.54228246283;7.0;261.889162222015;4.0;396.5201230121474;2
Сургут;Ханты-Мансийский автономный округ;13;61.25;73.39;4.330181891263687;360590;;43;809.2744731575173;1;10000.0;690.7611386470562;10000.0;10000.0;132.1335618779983;60.27439823144226;0.0;572.0361694232488;21.88282168700568;15.0;173.4983849499544;0.0;0.0;48.71439666980064;0.0;1435.774164848706;50.0;32.0;43.12171844917905;0.0;0.0;191.0;16.01547770255216;44.0;442.0711996938003;0.0;1690.6432115325256;0.0;1189.1397311096073;0.0;2100.8564494051197;20.0;156.87541001035137;3.0;615.7875606546579;1.0;603.4381080750779;0.0;1151.9136335159872;6.0;537.7600793665313;0.0;2144.4082107589147;0.0;1031.4681262230922;1.0;360.77251056701135;6.0;541.8494023540359;1.0;612.3308515974753;26.0;108.93362530466713;0.0;1153.1273419680947;0
Учалы;Республика Башкортостан;14;54.32;59.37;3.1376910293272986;37715;3048.3058269829553;6;930.6747638876112;1;693.614798671951;719.7321244156267;10000.0;10000.0;29.176989485568825;61.163652481149825;1908.771613338992;0.0;31.09153054827627;6.0;485.7336878598992;0.0;0.0;45.61808602080513;0.0;0.0;48.0;7.0;532.2026476809631;0.0;0.0;142.0;10.887524613434833;73.0;168.16248818437418;3.0;431.4300796927514;0.0;1477.2057277620947;0.0;0.0;0.0;2689.846571374617;0.0;1060.7979824349106;0.0;1307.801441150886;1.0;656.4336894902996;2.0;559.2023968470019;0.0;0.0;0.0;4597.7684660104715;2.0;904.3802750752817;1.0;654.2045492775734;0.0;0.0;6.0;539.6921436000972;0.0;1251.1639766162918;0
Воронеж;Воронежская область;15;51.66;39.2;0.13682184852209214;1058547;20130.10518423516;33;865.3750118798109;2;237.78578388541146;35.13606708229863;10000.0;10000.0;79.52836531959741;77.01645910169212;5380.249452923159;79.52836531959741;55.871926609306975;19.0;79.54708686502345;0.0;6057.081116010125;134.05538888741347;0.0;5850.024353591927;37.0;32.0;88.76954659182272;0.0;0.0;226.0;145.3772632946244;634.0;363.26665398615813;8.0;397.86097711618163;1.0;524.9346281292721;0.0;10089.907759425656;8.0;339.6288271156953;11.0;130.1065370812636;4.0;295.93310219773537;3.0;352.4618997064043;31.0;127.00574220111031;9.0;213.5014448200603;1.0;932.1263907591427;5.0;670.0055184516364;37.0;224.70233632875681;1.0;986.0903621194954;50.0;104.47112002175251;0.0;1608.614258166481;0
Тамбов;Тамбовская область;16;52.73;41.4;0.08947273439992795;1033552;261.2625246361935;35;506.0081637227503;1;67.5855744740509;35.13606708154966;10000.0;10000.0;274.6714555065913;308.18577728829774;0.0;3885.706307062564;244.0987712816293;1.0;357.24513820059724;0.0;0.0;460.5925837907244;0.0;4064.319055237234;6.0;14.0;289.46895052031766;0.0;0.0;8.0;84.28008517151974;0.0;1243.173764204463;0.0;2677.1377890291315;0.0;3330.281639200294;0.0;0.0;6.0;628.2713863524293;0.0;1381.4072203841592;0.0;3240.770312657549;0.0;1491.7738358549082;0.0;1816.3460468505161;0.0;0.0;0.0;1320.6696465303094;0.0;1979.8201492140613;0.0;1465.549767497105;0.0;0.0;0.0;2368.673132932805;2.0;406.43814385660073;2
Кузнецк;Пензенская область;17;53.12;46.6;1.5345853412567136;82276;16292.367525801785;9;363.9594571281331;1;80.12256044317404;458.1182660620765;10000.0;10000.0;34.77465558518099;4147.282998084876;0.0;0.0;46.16070642034482;8.0;233.9417337473408;0.0;0.0;324.1656355223057;0.0;0.0;7.0;22.0;268.17347645011654;0.0;0.0;26.0;99.9031011159424;1500.0;66.89247265466328;0.0;2142.4172547588887;0.0;0.0;0.0;0.0;36.0;243.2302433278476;3.0;326.3346915096855;1.0;302.09065376231945;2.0;783.9376058464969;2.0;348.3469130408258;0.0;0.0;0.0;2770.1032149790362;2.0;588.4071092180986;1.0;903.1141113559918;1.0;175.14539361973632;3.0;259.2087547029913;1.0;475.3137639899984;2
Омск;Омская область;18;55.04;73.3;0.1823808388756851;1960081;8202.045166976633;102;819.5068677202523;1;318.36456703116295;267.58831473002;10000.0;10000.0;386.45994788908445;260.1626008639378;16112.995490658259;1641.3523317691684;161.68760547999818;5.0;593.295485556571;0.0;0.0;175.00639496553202;0.0;1224.6018863033514;17.0;24.0;248.1480302438989;4.0;807.2657876630002;74.0;55.94146518138866;0.0;1015.2780547461032;9.0;579.965175374638;0.0;1189.3284313866745;0.0;8495.562095149766;8.0;265.125741196368;0.0;6803.012997820078;0.0;1387.5715733297327;1.0;894.0055280182678;1.0;547.4061304517469;0.0;5338.459976050287;0.0;1114.8491740166137;2.0;542.5470766071671;4.0;125.66053436331134;0.0;0.0;5.0;560.2183118085164;0.0;1119.8492338695191;1
Тюмень;Тюменская область;19;57.13;65.49;0.26390495025482147;768358;;107;425.2770629423865;2;10000.0;433.32899999956703;10000.0;10000.0;290.09223392768365;2845.894765417058;7339.011602062583;369.2034340131724;378.937150494182;2.0;381.5592786526868;0.0;0.0;390.2079001894313;0.0;3600.5245471262488;14.0;10.0;267.76367778039986;0.0;0.0;24.0;332.2214382655416;1.0;995.4260393032596;0.0;3025.999522839903;0.0;1170.2232554964066;0.0;4988.498514089869;0.0;2375.4114597613902;0.0;3403.937981992034;1.0;744.6555559708638;0.0;2324.6948080442617;0.0;1462.2525943002436;0.0;2380.8269332599507;0.0;3006.785095071225;0.0;4470.688549729268;2.0;702.1117007922103;0.0;0.0;0.0;2037.9072953789325;2.0;428.9999186379278;1
Рязань;Рязанская область;20;54.61;39.71;0.14154254857462695;1121474;43635.098423134084;48;713.2708159189292;3;139.22043096114214;909.5424151850541;10000.0;10000.0;48.87174818574761;280.24542034714193;1434.7772022476393;1864.5965150953773;49.76637816485399;7.0;286.46804886034715;0.0;0.0;84.98130306081914;0.0;2718.982104275784;37.0;30.0;269.9721100995382;0.0;0.0;362.0;15.756473175409806;81.0;264.3791601164508;0.0;3938.418182627849;4.0;445.37057392776484;0.0;0.0;4.0;530.7845048558455;4.0;369.4494308485763;0.0;1735.4226769961645;0.0;1126.489404191383;1.0;975.1098283686915;2.0;430.4222062408856;2.0;751.8416180749333;2.0;650.495676264082;1.0;901.3369610044288;0.0;0.0;3.0;91.5516107020506;0.0;1106.904021458783;1
