id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA,year,win_team
3261,30974,41067,41071,41060,32455,30851,25382,97236,32448,37798,32826,11024,25505,17480,23729,67228,32956,28901,101192,32924,25166,37243,1.2,6.0,15.0,1.2,6.0,9.0,1.17,5.5,11.0,1.2,6.5,13.0,0.0,0.0,0.0,1.14,5.5,15.0,1.17,5.5,15.0,1.15,6.0,12.0,1.2,6.0,12.0,1.2,5.5,12.0,2008,1
3262,94841,37401,36146,29471,24791,27234,26782,36132,58351,27642,41244,147733,27437,27425,95081,26618,37342,20125,42715,37319,95094,26982,1.4,4.5,8.0,1.4,4.6,7.25,1.37,4.3,7.2,1.4,4.5,8.0,0.0,0.0,0.0,1.44,4.5,7.0,1.44,4.33,7.5,1.4,5.0,8.5,1.4,4.5,7.0,1.4,4.5,7.5,2011,1
3263,32658,239920,32732,112123,42852,22994,145063,32630,45592,26559,116085,34656,58486,35574,34239,40624,25166,32503,32453,188503,24575,32955,1.83,3.5,4.33,1.8,3.5,4.2,1.9,3.2,3.6,1.83,3.4,3.5,0.0,0.0,0.0,1.91,3.2,4.33,1.91,3.3,4.0,1.87,3.5,4.8,1.9,3.4,3.75,1.91,3.4,3.75,2012,1
3264,287894,94915,36000,193901,51841,59595,237542,287231,278863,201888,20694,94139,107588,41927,303484,196205,164259,35989,42860,26195,35852,49825,1.73,4.0,4.33,1.78,3.5,4.5,1.77,3.6,4.2,1.66,4.0,4.75,1.82,3.95,4.59,1.83,3.5,4.2,0.0,0.0,0.0,1.87,4.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2014,0
3265,41722,42258,178206,67346,25812,42257,133126,34052,66933,66939,27157,31470,121080,171338,111925,115591,112976,30936,114011,39136,132844,108525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,0
3266,37900,41005,37100,37886,354495,303179,208984,264190,131531,46335,208852,214340,12405,181029,179059,208348,26425,40520,20445,141395,200607,212598,1.67,3.5,5.5,1.7,3.3,4.75,1.65,3.5,4.5,1.62,3.5,5.0,1.7,4.02,5.21,1.62,3.6,5.0,1.727,3.6,5.0,1.65,3.9,5.4,1.7,3.3,4.75,1.67,3.4,5.0,2012,1
3267,41097,71603,30826,215798,26052,149962,40685,150565,39994,31092,38369,11320,39965,157806,41182,159352,35444,40728,39971,93471,37560,134232,1.91,3.2,4.33,1.88,3.2,4.25,1.85,3.25,4.0,1.83,3.0,4.0,0.0,0.0,0.0,1.8,3.2,4.5,1.8,3.25,4.5,1.95,3.2,4.5,1.95,3.1,4.0,1.91,3.25,3.8,2010,0
3268,32678,103905,191906,115519,33848,151079,40668,51953,279173,194660,198566,104986,46407,30914,150080,239350,213711,170667,352887,534484,495841,161291,1.8,3.5,4.75,1.8,3.4,4.5,1.8,3.5,4.2,1.8,3.4,4.75,1.83,3.61,5.05,1.83,3.5,4.4,0.0,0.0,0.0,1.8,3.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0
3269,24591,72541,11778,33865,72542,33870,42369,38424,30744,30907,96615,37579,33896,37581,80497,33828,33634,33884,32999,150647,150644,33892,2.05,3.25,3.75,1.95,3.3,3.55,2.1,3.0,3.3,2.1,3.2,3.0,0.0,0.0,0.0,2.05,3.1,3.2,2.05,3.25,3.75,1.91,3.2,3.5,2.05,3.25,3.5,2.1,3.25,3.2,2008,0
3270,46518,40695,47418,119541,37194,109621,110148,39109,72735,24213,30830,22998,146830,23837,23030,183519,28901,22929,198510,35345,160194,35523,2.1,3.3,3.5,2.2,3.1,3.4,2.1,3.2,3.4,2.1,3.3,3.75,2.16,3.34,3.88,2.15,3.2,3.5,0.0,0.0,0.0,2.2,3.25,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2015,0
3271,42829,45488,42596,62358,110159,178753,46067,37789,262753,25640,178749,110154,26491,26509,209381,150211,26449,38103,209373,142990,209387,26642,1.4,4.5,7.5,1.38,4.6,7.25,1.35,4.0,7.0,1.36,4.0,7.0,0.0,0.0,0.0,1.33,4.33,9.0,1.44,4.5,6.5,1.36,4.75,8.5,1.4,4.5,6.5,1.36,4.75,7.5,2011,1
3272,12340,69252,68744,69374,13329,173393,69276,115253,92718,13225,12283,17869,198099,69611,72543,69601,9086,277935,34264,190366,38773,36640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0
3273,95336,31701,144989,32318,170593,25382,107132,166676,40570,25643,35905,33914,32969,109786,23660,308932,24839,356406,142357,190851,25674,25411,1.2,6.0,15.0,1.18,5.75,12.5,1.2,5.2,11.0,1.2,6.0,15.0,0.0,0.0,0.0,1.2,6.0,12.0,1.22,6.25,12.0,1.22,6.25,15.0,1.18,5.75,12.5,1.2,6.5,15.0,2012,1
3274,22418,11796,11827,149959,18552,28463,37721,34234,22545,101197,115798,43283,25990,40661,88521,29580,43290,30788,25926,23675,24422,37483,2.9,2.9,2.7,2.7,2.7,2.75,2.5,3.0,2.7,2.6,3.1,2.38,0.0,0.0,0.0,2.6,3.0,2.9,2.88,3.0,2.5,2.6,2.9,2.62,2.5,3.0,2.75,2.62,3.0,2.5,2009,0
3275,109622,287156,163222,159663,161644,22952,192779,80293,214953,354786,163215,95336,31701,144989,209405,129819,66578,25382,107132,22929,25643,38614,7.0,5.25,1.36,7.25,4.75,1.33,6.5,4.0,1.4,8.0,4.5,1.4,8.32,4.91,1.42,8.0,4.0,1.44,7.5,4.33,1.4,8.5,5.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2013,0
3276,164354,568920,186671,150299,721133,470541,150024,11726,40967,361320,388514,19515,150322,181548,280350,128360,242889,150083,79775,40955,164212,470370,2.88,3.0,2.63,2.8,3.1,2.5,2.6,3.0,2.6,2.8,3.0,2.62,2.91,3.1,2.78,2.7,3.0,2.6,0.0,0.0,0.0,2.8,3.2,2.63,0.0,0.0,0.0,0.0,0.0,0.0,2016,0
3277,363364,150322,280350,41016,128360,150091,150038,319975,40955,403003,210065,13345,29036,38162,361379,150275,31298,97326,18548,22428,45359,281628,1.83,3.3,4.75,1.83,3.3,4.33,1.85,3.1,4.0,1.8,3.4,4.33,1.81,3.57,5.02,1.8,3.3,4.2,1.8,3.4,4.8,1.8,3.5,5.0,1.83,3.3,4.33,1.8,3.3,4.33,2013,1
3278,109060,41165,46078,70812,26660,27995,41463,26453,112119,211089,129915,26586,26016,45888,26596,26674,9307,158278,171786,232103,109288,20720,1.22,6.0,13.0,1.2,5.75,11.0,1.2,5.0,10.0,1.2,5.5,9.0,0.0,0.0,0.0,1.2,6.0,11.0,1.18,6.5,15.0,1.2,6.5,15.0,1.22,5.25,11.0,1.22,5.5,11.0,2011,1
3279,36283,146830,23030,23837,183519,35345,28901,26160,160194,363340,169721,188971,36786,40695,119541,37194,23253,186831,176300,39109,110148,30830,2.05,3.5,3.9,2.05,3.2,3.7,1.85,3.45,4.0,2.1,3.4,3.8,2.07,3.53,3.93,2.1,3.25,3.6,0.0,0.0,0.0,2.05,3.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2016,1
3280,178584,13515,94260,93261,210721,13549,69223,178689,92223,206901,281158,13454,186090,68962,206662,69533,13334,30976,72393,69009,10933,72613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1
3281,42276,42294,178119,95220,67349,31427,30919,113235,25839,8840,25809,42259,8837,34319,30138,114792,91695,39266,22382,39633,95226,30939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,1
3282,10637,67349,202663,450493,32597,188114,25840,535957,451335,95230,275122,67311,42257,112981,67304,158253,133126,520466,25809,263693,184610,66583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1
3283,32653,35988,39774,30459,38843,18518,38244,25365,30872,30924,30709,27467,27472,27475,26383,27484,36060,27471,41923,37760,27478,41931,1.33,5.0,9.0,1.25,5.15,9.5,1.37,4.4,8.0,1.25,4.5,10.0,0.0,0.0,0.0,1.3,5.25,9.5,1.25,6.0,11.0,1.28,5.0,9.5,1.3,5.0,9.0,1.29,5.0,9.0,2009,1
3284,115184,24493,450002,30911,29590,359188,37549,38336,446266,488139,40819,510569,40537,39965,173952,306128,574633,210128,427855,470539,26163,239259,1.8,3.5,4.75,1.87,3.4,4.5,1.75,3.4,4.65,1.85,3.4,4.33,1.91,3.55,4.55,1.85,3.4,4.5,0.0,0.0,0.0,1.85,3.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2016,1
3285,27358,13518,71399,36388,94685,37374,27365,177714,144993,94652,18576,24104,30668,27461,37787,38843,16300,30749,39106,38216,30496,33101,1.73,3.75,4.5,1.72,3.6,4.5,1.8,3.4,4.0,1.73,3.5,5.0,0.0,0.0,0.0,1.73,3.75,4.5,1.73,3.75,5.0,1.73,4.0,5.0,1.73,3.6,4.5,1.73,3.6,4.5,2010,1
3286,26523,30904,25856,26307,30826,35408,41191,109330,94323,41980,25657,30742,30914,77741,26154,26291,26160,56916,32575,107417,35407,37950,2.5,3.1,2.9,2.45,3.15,3.05,2.5,3.1,2.8,2.3,2.9,2.9,0.0,0.0,0.0,2.4,3.0,2.85,2.3,3.2,3.2,2.38,3.0,3.0,2.4,3.0,3.0,2.5,3.1,2.75,2010,0
3287,115184,359188,192770,450002,108075,37549,39990,478393,354467,27430,413557,11336,478345,445226,41182,40683,441871,41236,179893,46412,277341,103866,1.4,4.5,9.0,1.42,4.2,8.0,1.47,4.0,6.6,1.44,4.2,7.5,1.45,4.45,9.53,1.4,4.2,9.0,0.0,0.0,0.0,1.44,4.4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
3288,206592,45413,37861,289250,26109,187012,196203,38257,95614,38231,131530,242300,21834,37943,149279,154276,131394,27168,26916,72931,184100,105695,1.53,4.0,6.0,1.53,3.75,5.5,1.5,3.9,5.1,1.53,3.8,5.5,1.55,4.24,6.97,1.55,3.75,5.5,1.53,3.8,6.0,1.53,4.1,6.5,1.53,3.75,5.5,1.53,3.8,5.5,2012,1
3289,41466,77741,26564,24970,288613,57124,30675,24507,127460,33782,161328,39170,96532,32769,73024,41497,39222,74034,27685,364520,166595,195199,1.62,3.8,6.0,1.62,3.7,5.5,1.6,3.7,5.4,1.62,3.9,5.5,1.63,4.07,6.17,1.61,3.6,6.0,0.0,0.0,0.0,1.65,3.75,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2015,0
3290,22998,146830,23837,23030,154271,8985,22929,28901,35345,24157,160194,37770,67850,23571,210804,24781,173317,30930,22894,286119,26554,23190,2.63,3.4,2.88,2.65,3.1,2.7,2.5,3.2,2.75,2.5,3.4,2.87,2.64,3.37,2.9,2.7,3.1,2.7,0.0,0.0,0.0,2.6,3.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
3291,37656,213814,34104,303484,406257,75004,309334,213711,41168,161015,96509,40648,103905,45237,26345,45440,166702,317569,111801,358127,2983,96652,2.0,3.4,3.75,2.0,3.4,3.6,1.85,3.5,3.9,2.0,3.5,3.6,2.04,3.7,3.83,2.0,3.4,3.75,2.0,3.5,3.8,2.05,3.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
3292,32746,42388,114769,24504,39535,25818,30966,50074,25597,41658,49677,206711,195190,30928,22337,24622,96398,30682,26472,174850,154249,30714,2.05,3.75,3.25,2.05,3.8,3.2,2.2,3.3,3.1,2.05,3.75,3.2,2.06,4.06,3.47,2.05,4.0,3.1,2.0,3.6,3.3,2.1,4.0,3.4,2.05,3.8,3.2,2.1,3.75,3.1,2013,1
3293,30967,57071,30968,52133,29590,41467,79574,34653,46509,35425,37576,45306,11829,101201,118601,181312,11833,184590,150045,128045,56895,150047,1.25,5.5,12.0,1.25,5.0,10.0,1.25,4.6,10.5,1.25,4.5,10.0,0.0,0.0,0.0,1.25,5.0,11.0,1.29,5.0,9.0,1.29,4.5,10.0,1.25,5.0,10.0,1.29,4.75,9.0,2009,1
3294,26190,40692,26223,30676,37577,32755,33619,31037,33599,17806,25575,26168,26402,26253,26403,26401,26406,94550,41365,25659,26408,38098,3.2,3.0,2.4,2.9,2.85,2.45,3.15,2.9,2.4,2.75,2.9,2.4,0.0,0.0,0.0,3.0,2.88,2.25,3.25,2.8,2.5,3.0,2.9,2.35,3.1,2.9,2.35,3.2,3.0,2.2,2009,1
